,carat,cut,color,clarity,depth,table,volume
265,0.57,Very Good,F,VVS2,60.7,58.0,0.1623931623931624
266,2.16,Ideal,H,I1,62.2,56.0,0.6153846153846154
267,0.52,Premium,D,VS2,62.4,58.0,0.14814814814814817
268,0.43,Very Good,I,IF,61.0,56.0,0.1225071225071225
269,1.04,Premium,F,VVS2,61.6,59.0,0.29629629629629634
270,1.02,Very Good,E,VS1,61.0,58.0,0.2905982905982906
271,0.36,Premium,G,VS1,62.2,59.0,0.10256410256410256
272,1.12,Premium,G,SI2,61.0,60.0,0.31908831908831914
273,1.0,Good,D,SI1,64.1,56.0,0.2849002849002849
274,0.31,Premium,I,SI1,60.7,60.0,0.08831908831908833
275,0.32,Ideal,F,VVS1,62.1,54.0,0.09116809116809117
276,1.02,Ideal,G,VS2,62.8,57.0,0.2905982905982906
277,0.36,Ideal,H,SI1,62.3,57.0,0.10256410256410256
278,1.57,Very Good,J,SI2,62.1,60.0,0.44729344729344733
279,1.56,Ideal,H,SI2,62.1,58.0,0.4444444444444445
280,0.57,Ideal,H,VS2,61.7,55.0,0.1623931623931624
281,0.72,Ideal,G,VS2,62.8,56.0,0.20512820512820512
282,1.0,Good,G,SI2,61.7,63.0,0.2849002849002849
283,1.5,Very Good,E,SI2,63.3,57.0,0.4273504273504274
284,1.22,Premium,F,VS2,62.0,58.0,0.3475783475783476
285,1.63,Ideal,I,VS2,61.8,56.0,0.46438746438746437
286,1.2,Ideal,J,VS2,62.2,54.0,0.3418803418803419
287,1.73,Very Good,G,VS2,62.9,58.0,0.4928774928774929
288,0.53,Ideal,E,VS2,61.4,56.0,0.15099715099715103
289,1.21,Premium,J,VVS1,61.3,59.0,0.34472934472934474
290,0.23,Very Good,G,VS2,62.8,53.0,0.06552706552706554
291,1.52,Premium,J,VVS2,58.3,62.0,0.4330484330484331
292,2.16,Ideal,H,SI1,61.9,57.0,0.6153846153846154
293,0.32,Ideal,E,VS1,61.8,55.0,0.09116809116809117
294,1.06,Ideal,G,VS1,61.6,56.0,0.30199430199430205
295,0.52,Ideal,F,VS1,62.5,57.0,0.14814814814814817
296,0.7,Very Good,E,SI2,60.2,64.0,0.19943019943019943
297,0.27,Ideal,E,VVS1,62.3,56.0,0.07692307692307693
298,0.33,Ideal,J,SI2,62.4,54.0,0.09401709401709403
299,1.24,Very Good,I,SI1,61.4,59.0,0.3532763532763533
300,1.03,Fair,E,I1,78.2,54.0,0.2934472934472935
301,0.44,Ideal,H,VVS1,61.1,57.0,0.12535612535612536
302,0.79,Very Good,F,VS1,58.6,57.0,0.2250712250712251
303,0.96,Ideal,G,VS1,61.1,56.0,0.27350427350427353
304,1.0,Ideal,D,SI1,60.2,57.0,0.2849002849002849
305,1.59,Very Good,J,VS1,60.7,59.0,0.45299145299145305
306,0.41,Ideal,F,VS1,61.8,56.0,0.1168091168091168
307,0.32,Ideal,E,IF,62.0,55.0,0.09116809116809117
308,0.5,Ideal,D,VS2,60.7,57.0,0.14245014245014245
309,0.71,Premium,F,SI2,60.6,58.0,0.2022792022792023
310,0.51,Ideal,F,VS1,61.7,54.0,0.1452991452991453
311,0.3,Good,G,SI2,63.7,54.0,0.08547008547008547
312,1.51,Premium,J,VS2,62.3,59.0,0.43019943019943024
313,1.01,Premium,H,VS2,61.2,59.0,0.28774928774928776
314,0.71,Ideal,E,SI2,62.6,55.0,0.2022792022792023
315,1.71,Premium,G,SI2,62.6,57.0,0.4871794871794872
316,0.38,Very Good,J,VVS2,63.4,56.0,0.10826210826210828
317,0.52,Very Good,I,SI1,62.5,59.0,0.14814814814814817
318,0.33,Premium,E,VS1,60.9,58.0,0.09401709401709403
319,1.2,Premium,F,VS2,62.1,54.0,0.3418803418803419
320,1.01,Good,F,SI1,63.5,59.0,0.28774928774928776
321,0.37,Good,G,SI2,63.4,57.0,0.10541310541310542
322,0.32,Very Good,H,SI1,61.9,58.0,0.09116809116809117
323,0.23,Very Good,E,VVS2,62.3,55.0,0.06552706552706554
324,0.44,Premium,I,VS1,62.8,56.0,0.12535612535612536
325,1.11,Premium,H,VS2,62.6,58.0,0.3162393162393163
326,0.5,Very Good,F,VS1,62.3,55.0,0.14245014245014245
327,0.57,Premium,F,VS2,60.3,58.0,0.1623931623931624
328,1.03,Ideal,H,VVS2,62.2,55.0,0.2934472934472935
329,0.29,Premium,E,SI1,58.4,60.0,0.08262108262108261
330,2.08,Premium,H,SI1,62.6,59.0,0.5925925925925927
331,0.71,Good,F,SI1,63.7,58.0,0.2022792022792023
332,0.37,Very Good,G,VS1,63.1,56.0,0.10541310541310542
333,1.5,Ideal,I,SI1,62.7,57.0,0.4273504273504274
334,0.71,Very Good,F,VVS1,63.2,60.0,0.2022792022792023
335,0.56,Premium,E,VS2,61.8,59.0,0.15954415954415957
336,2.01,Ideal,J,VS1,60.9,56.0,0.5726495726495726
337,0.32,Ideal,E,VVS2,62.0,55.0,0.09116809116809117
338,0.37,Ideal,G,VVS2,60.7,55.0,0.10541310541310542
339,1.21,Premium,D,SI2,62.2,60.0,0.34472934472934474
340,0.31,Ideal,F,VS2,61.6,56.0,0.08831908831908833
341,0.54,Very Good,D,SI1,62.1,58.0,0.15384615384615385
342,0.26,Ideal,F,VVS2,62.5,56.0,0.07407407407407408
343,1.01,Premium,D,SI2,60.9,62.0,0.28774928774928776
344,1.06,Good,E,SI2,63.9,60.0,0.30199430199430205
345,0.53,Ideal,F,VS2,61.1,56.0,0.15099715099715103
346,0.31,Very Good,D,SI1,63.5,56.0,0.08831908831908833
347,0.7,Very Good,F,VS2,62.9,57.0,0.19943019943019943
348,1.01,Ideal,D,SI2,63.0,54.0,0.28774928774928776
349,0.32,Ideal,E,VS2,62.8,54.0,0.09116809116809117
350,0.71,Ideal,D,VS2,60.1,56.0,0.2022792022792023
351,0.27,Ideal,H,VS1,61.6,56.0,0.07692307692307693
352,1.04,Very Good,I,I1,61.6,61.0,0.29629629629629634
353,0.56,Ideal,F,VS1,61.7,54.0,0.15954415954415957
354,0.33,Ideal,H,VS1,61.9,55.0,0.09401709401709403
355,0.51,Ideal,H,VS1,62.7,57.0,0.1452991452991453
356,0.32,Ideal,E,VS2,62.1,56.0,0.09116809116809117
357,1.51,Premium,E,SI1,62.8,59.0,0.43019943019943024
358,0.5,Very Good,H,VS1,61.6,57.0,0.14245014245014245
359,0.23,Very Good,F,VVS2,58.1,63.0,0.06552706552706554
360,0.4,Premium,F,VS2,62.1,58.0,0.11396011396011398
361,1.03,Ideal,G,VVS1,62.4,57.0,0.2934472934472935
362,0.3,Ideal,I,VVS1,62.1,54.0,0.08547008547008547
363,1.7,Premium,J,VS2,61.0,59.0,0.48433048433048437
364,0.96,Fair,H,VS2,68.8,56.0,0.27350427350427353
365,0.25,Ideal,E,VVS1,61.2,57.0,0.07122507122507123
366,0.3,Premium,I,VVS1,62.5,60.0,0.08547008547008547
367,0.9,Good,F,VS2,60.0,58.0,0.25641025641025644
368,0.5,Ideal,D,VS2,61.5,57.0,0.14245014245014245
369,0.3,Ideal,G,VS1,61.8,56.0,0.08547008547008547
370,0.31,Premium,F,VS2,62.3,59.0,0.08831908831908833
371,0.28,Ideal,F,IF,61.4,57.0,0.07977207977207978
372,1.68,Good,E,I1,64.3,60.0,0.47863247863247865
373,0.3,Ideal,G,VVS1,62.1,56.0,0.08547008547008547
374,0.24,Very Good,F,VS1,62.0,56.0,0.06837606837606838
375,0.41,Ideal,D,SI1,60.5,57.0,0.1168091168091168
376,0.32,Ideal,G,VS1,60.7,56.0,0.09116809116809117
377,1.01,Very Good,I,SI1,59.7,60.0,0.28774928774928776
378,0.62,Premium,E,VVS2,62.0,56.0,0.17663817663817666
379,0.3,Ideal,F,VS2,62.6,54.0,0.08547008547008547
380,1.01,Very Good,I,VS2,62.3,60.0,0.28774928774928776
381,0.23,Very Good,E,VVS1,59.3,62.0,0.06552706552706554
382,0.3,Ideal,H,VVS2,61.3,56.0,0.08547008547008547
383,1.32,Ideal,G,VS2,61.1,57.0,0.3760683760683761
384,0.5,Very Good,E,SI2,59.9,57.0,0.14245014245014245
385,0.41,Premium,H,SI1,62.9,58.0,0.1168091168091168
386,2.03,Premium,E,SI2,61.5,59.0,0.5783475783475783
387,1.21,Premium,E,VVS2,61.9,58.0,0.34472934472934474
388,0.32,Ideal,E,VS2,62.0,57.0,0.09116809116809117
389,0.39,Very Good,G,VS2,60.4,61.0,0.11111111111111112
390,0.7,Ideal,I,VVS1,61.8,56.0,0.19943019943019943
391,0.34,Premium,H,VVS1,61.2,58.0,0.09686609686609687
392,1.07,Ideal,G,VVS2,61.5,56.0,0.30484330484330485
393,0.31,Ideal,I,VVS1,62.2,53.0,0.08831908831908833
394,0.6,Very Good,G,VS1,61.9,56.0,0.17094017094017094
395,1.09,Premium,I,VS2,60.1,59.0,0.31054131054131057
396,0.3,Premium,D,VS2,60.3,60.0,0.08547008547008547
397,0.53,Very Good,G,VVS1,60.3,54.0,0.15099715099715103
398,0.38,Premium,E,VS1,60.7,59.0,0.10826210826210828
399,0.72,Very Good,E,SI2,59.7,59.0,0.20512820512820512
400,1.0,Premium,F,SI1,60.8,59.0,0.2849002849002849
401,0.34,Premium,D,SI2,60.8,60.0,0.09686609686609687
402,0.8,Very Good,I,SI1,61.9,56.0,0.22792022792022795
403,1.03,Premium,D,VVS2,61.7,59.0,0.2934472934472935
404,0.56,Premium,H,SI1,61.3,60.0,0.15954415954415957
405,0.39,Ideal,D,VS1,62.0,57.0,0.11111111111111112
406,0.24,Ideal,H,IF,62.5,54.0,0.06837606837606838
407,2.19,Very Good,E,SI2,62.4,61.0,0.6239316239316239
408,0.5,Ideal,F,VVS2,62.0,53.6,0.14245014245014245
409,1.23,Premium,I,VS2,61.7,58.0,0.35042735042735046
410,0.31,Ideal,E,VVS2,61.6,55.0,0.08831908831908833
411,0.31,Ideal,D,SI1,61.7,57.0,0.08831908831908833
412,1.19,Premium,I,SI2,60.1,59.0,0.33903133903133903
413,0.54,Good,E,SI1,61.5,56.0,0.15384615384615385
