,carat,cut,color,clarity,depth,table,price,volume
61,0.34,Ideal,H,SI1,62.6,56.0,628,0.09686609686609687
62,0.31,Ideal,E,VVS2,60.8,57.0,816,0.08831908831908833
63,0.74,Ideal,G,VS2,61.2,56.0,3434,0.21082621082621086
64,0.33,Ideal,F,VS2,62.6,55.0,854,0.09401709401709404
65,1.08,Ideal,I,VS2,61.8,54.0,5455,0.3076923076923077
66,0.79,Ideal,G,SI1,62.3,57.0,2898,0.2250712250712251
67,0.3,Ideal,H,VVS2,61.5,57.0,776,0.08547008547008547
68,1.33,Ideal,I,VVS2,62.2,56.0,7887,0.3789173789173789
69,0.51,Very Good,H,SI1,61.2,55.0,1008,0.1452991452991453
70,0.58,Ideal,D,SI2,61.2,57.0,1342,0.16524216524216526
71,1.22,Ideal,H,VS2,62.0,58.0,7623,0.3475783475783476
72,0.78,Good,H,VS2,63.7,60.0,2440,0.22222222222222224
73,1.62,Ideal,I,VS1,60.8,56.0,11152,0.4615384615384616
74,1.65,Ideal,G,VS2,60.8,56.0,14456,0.4700854700854701
75,0.55,Very Good,F,VS1,61.2,56.4,1975,0.1566951566951567
76,1.64,Ideal,E,SI1,60.7,55.0,9801,0.4672364672364672
77,0.3,Premium,E,VS2,62.5,59.0,658,0.08547008547008547
78,0.41,Ideal,D,VS2,61.7,56.0,1076,0.1168091168091168
79,0.3,Premium,D,VVS2,62.4,58.0,752,0.08547008547008547
80,1.1,Premium,G,VS2,59.6,60.0,6121,0.3133903133903134
81,1.03,Ideal,I,SI1,63.3,57.0,4401,0.2934472934472935
82,0.3,Fair,J,VS2,64.8,58.0,416,0.08547008547008547
83,1.02,Premium,I,SI1,62.7,58.0,4227,0.2905982905982906
84,0.56,Premium,E,VS2,61.8,56.0,1915,0.15954415954415954
85,1.51,Very Good,F,VS1,62.6,57.0,14976,0.43019943019943024
86,1.13,Premium,I,SI1,61.8,59.0,4536,0.32193732193732194
87,0.34,Ideal,I,SI1,61.9,57.0,589,0.09686609686609687
88,1.16,Premium,H,SI2,58.8,61.0,4157,0.3304843304843305
89,0.38,Very Good,F,VS2,59.7,57.0,752,0.10826210826210828
90,1.03,Premium,G,SI1,60.5,60.0,5105,0.2934472934472935
91,0.9,Very Good,E,SI2,62.2,54.0,3715,0.25641025641025644
92,0.5,Very Good,D,SI1,62.8,58.0,1415,0.14245014245014245
93,0.3,Ideal,F,SI1,62.2,54.2,499,0.08547008547008547
94,0.64,Ideal,D,VS1,61.5,56.0,2787,0.18233618233618235
95,0.91,Fair,F,SI2,65.3,51.0,2996,0.2592592592592593
96,1.24,Premium,G,VVS1,60.4,59.0,10485,0.3532763532763533
97,2.3,Ideal,I,SI2,61.8,57.0,16329,0.6552706552706553
98,0.27,Ideal,E,VS1,61.6,56.0,603,0.07692307692307693
99,1.0,Premium,J,VVS2,59.6,61.0,3864,0.2849002849002849
100,0.71,Ideal,G,VS2,62.9,56.0,2443,0.2022792022792023
101,0.36,Premium,E,SI1,60.8,59.0,810,0.10256410256410256
102,0.31,Ideal,D,SI2,62.1,57.0,593,0.08831908831908833
103,0.93,Ideal,H,SI1,62.8,56.0,3988,0.26495726495726496
104,0.33,Good,D,VS2,61.8,61.0,652,0.09401709401709404
105,1.77,Premium,G,SI2,62.7,59.0,9664,0.5042735042735043
106,1.06,Ideal,E,SI2,62.2,55.0,5223,0.30199430199430205
107,1.21,Ideal,G,SI2,62.1,57.0,5226,0.34472934472934474
108,0.3,Ideal,E,VVS1,62.3,55.0,826,0.08547008547008547
109,1.27,Ideal,I,VS2,62.6,57.0,6401,0.3618233618233618
110,0.92,Very Good,D,SI2,62.4,60.0,4168,0.26210826210826216
111,0.31,Ideal,I,VS1,61.9,54.0,489,0.08831908831908833
112,2.01,Good,H,VS2,57.8,60.0,18561,0.5726495726495726
113,1.51,Ideal,G,VS1,61.9,57.0,14674,0.43019943019943024
114,1.83,Very Good,G,VS2,60.5,59.0,18358,0.5213675213675214
115,0.38,Premium,F,VS1,62.4,59.0,933,0.10826210826210828
116,0.23,Premium,F,VVS2,61.3,59.0,445,0.06552706552706554
117,0.92,Ideal,I,SI1,62.1,55.0,3610,0.26210826210826216
118,1.5,Premium,D,SI1,62.4,58.0,12069,0.4273504273504274
119,0.32,Very Good,G,VS1,62.1,55.0,645,0.09116809116809116
120,1.0,Ideal,F,SI2,61.2,57.0,4372,0.2849002849002849
121,0.31,Very Good,F,VVS1,59.4,57.0,779,0.08831908831908833
122,0.52,Good,F,SI2,58.7,64.0,1350,0.14814814814814814
123,2.01,Ideal,H,SI2,62.5,53.9,14998,0.5726495726495726
124,0.31,Ideal,G,VVS2,62.2,55.0,565,0.08831908831908833
125,0.77,Very Good,J,SI1,61.0,59.0,2086,0.21937321937321935
126,1.13,Very Good,H,SI2,59.8,59.0,4537,0.32193732193732194
127,0.32,Ideal,D,SI1,62.6,55.0,589,0.09116809116809116
128,2.07,Premium,E,SI1,61.2,58.0,16957,0.5897435897435898
129,0.71,Premium,G,VS2,60.3,59.0,2443,0.2022792022792023
130,1.11,Ideal,F,VS2,60.4,58.0,7275,0.3162393162393163
131,1.02,Premium,F,SI2,61.1,59.0,4541,0.2905982905982906
132,1.56,Ideal,H,VS2,61.5,56.0,11636,0.4444444444444445
133,0.34,Very Good,I,VS2,61.6,56.0,457,0.09686609686609687
134,0.96,Premium,G,SI2,62.7,60.0,3215,0.27350427350427353
135,0.31,Premium,D,VS2,62.3,55.0,942,0.08831908831908833
136,0.64,Very Good,G,VS1,60.4,62.0,2060,0.18233618233618235
137,1.01,Premium,F,VVS1,62.5,58.0,7882,0.28774928774928776
138,0.35,Ideal,H,VVS2,62.5,57.0,706,0.09971509971509973
139,0.7,Premium,F,SI2,62.5,60.0,2373,0.19943019943019946
140,0.3,Ideal,H,VS1,62.1,54.0,675,0.08547008547008547
141,0.71,Ideal,H,VVS1,61.1,56.0,3137,0.2022792022792023
142,0.31,Ideal,G,IF,61.1,57.0,871,0.08831908831908833
143,2.25,Ideal,E,I1,61.4,54.0,9072,0.6410256410256411
144,1.18,Premium,I,SI1,62.8,56.0,5088,0.33618233618233617
145,1.22,Very Good,G,SI2,63.2,58.0,6409,0.3475783475783476
146,1.72,Ideal,G,VS2,62.8,57.0,12830,0.49002849002848997
147,2.01,Ideal,F,SI2,61.7,56.0,18394,0.5726495726495726
148,1.03,Premium,G,SI1,60.1,60.0,5581,0.2934472934472935
149,0.7,Ideal,F,VS2,62.0,56.0,2671,0.19943019943019946
150,1.01,Good,E,SI1,64.3,59.0,5379,0.28774928774928776
151,1.0,Fair,H,VS1,64.6,59.0,5242,0.2849002849002849
152,1.1,Ideal,F,VVS2,61.2,56.0,10487,0.3133903133903134
153,0.59,Ideal,D,IF,60.9,57.0,4208,0.16809116809116809
154,0.3,Very Good,H,VS2,63.5,59.0,608,0.08547008547008547
155,0.56,Ideal,E,VS1,61.3,55.0,1930,0.15954415954415954
156,0.9,Premium,F,SI1,61.7,62.0,3936,0.25641025641025644
157,0.57,Very Good,E,VS2,60.7,58.0,1732,0.1623931623931624
158,0.72,Ideal,D,SI2,61.2,57.0,2328,0.20512820512820512
159,1.0,Fair,H,SI1,65.5,57.0,3511,0.2849002849002849
160,0.4,Ideal,G,VVS1,62.1,53.0,1043,0.11396011396011398
161,1.22,Premium,I,SI2,62.3,58.0,4831,0.3475783475783476
162,1.02,Ideal,G,IF,62.3,57.0,8955,0.2905982905982906
163,1.08,Ideal,H,VS2,61.8,56.0,5625,0.3076923076923077
164,0.33,Premium,G,IF,60.8,58.0,1052,0.09401709401709404
165,0.42,Very Good,E,VVS2,59.8,56.0,1167,0.11965811965811965
166,1.36,Very Good,F,SI1,62.8,53.0,6597,0.3874643874643875
167,0.58,Ideal,F,VS1,62.1,56.0,2088,0.16524216524216526
168,1.02,Good,G,SI1,63.6,58.0,4964,0.2905982905982906
169,1.19,Good,E,VS2,57.4,60.0,6937,0.33903133903133903
170,2.01,Good,D,SI2,64.6,55.0,15394,0.5726495726495726
171,1.15,Very Good,F,SI2,63.1,63.0,4915,0.3276353276353277
172,0.79,Premium,D,SI2,60.0,60.0,2853,0.2250712250712251
173,0.32,Premium,D,VS2,62.9,59.0,842,0.09116809116809116
174,0.31,Ideal,F,VS2,61.6,56.0,749,0.08831908831908833
175,0.54,Very Good,F,VS1,61.0,58.0,1813,0.15384615384615385
176,0.5,Very Good,D,VS2,62.8,60.0,1627,0.14245014245014245
177,1.86,Very Good,H,SI2,62.3,57.0,11416,0.5299145299145299
178,1.04,Very Good,H,VS2,60.9,58.0,5447,0.29629629629629634
179,1.41,Ideal,G,VS2,60.8,55.0,10581,0.4017094017094017
180,0.3,Ideal,E,SI1,61.6,54.0,499,0.08547008547008547
181,0.33,Ideal,H,VS1,61.6,55.0,610,0.09401709401709404
182,1.06,Ideal,D,SI1,62.7,54.0,6055,0.30199430199430205
183,0.31,Ideal,I,SI2,62.0,54.1,372,0.08831908831908833
184,0.91,Good,G,SI1,64.3,60.0,3344,0.2592592592592593
185,0.75,Very Good,J,SI1,62.4,56.0,2083,0.2136752136752137
186,0.3,Very Good,F,IF,62.1,57.0,886,0.08547008547008547
187,0.41,Ideal,D,VVS1,60.6,57.0,1582,0.1168091168091168
188,1.01,Premium,H,SI2,59.4,62.0,3083,0.28774928774928776
189,1.02,Very Good,G,VVS1,63.0,58.0,7657,0.2905982905982906
190,0.27,Ideal,G,VS1,62.3,53.0,527,0.07692307692307693
191,0.7,Very Good,F,SI1,62.6,56.0,2196,0.19943019943019946
192,1.51,Ideal,I,VS2,62.3,57.0,9297,0.43019943019943024
193,2.22,Ideal,J,SI2,62.8,57.0,13703,0.6324786324786326
194,0.54,Premium,G,VS2,62.7,58.0,1422,0.15384615384615385
195,1.23,Premium,D,SI2,58.9,58.0,5283,0.3504273504273505
196,0.9,Good,E,SI1,63.9,57.0,3795,0.25641025641025644
197,0.88,Fair,F,SI1,56.6,65.0,2882,0.25071225071225073
198,0.7,Fair,G,SI2,58.6,56.0,2208,0.19943019943019946
199,0.31,Premium,H,SI1,62.7,58.0,558,0.08831908831908833
200,1.25,Ideal,G,SI2,61.1,55.0,6371,0.3561253561253562
201,1.01,Premium,G,SI2,59.1,59.0,4242,0.28774928774928776
202,0.3,Very Good,F,SI2,63.5,57.0,506,0.08547008547008547
203,0.28,Very Good,E,VS1,59.5,59.0,487,0.07977207977207977
204,0.51,Premium,F,SI2,61.1,59.0,1227,0.1452991452991453
205,0.52,Ideal,I,VS2,61.9,58.0,1232,0.14814814814814814
206,0.52,Premium,G,VVS1,59.2,58.0,2153,0.14814814814814814
207,0.3,Good,D,SI2,63.3,57.0,447,0.08547008547008547
208,0.51,Very Good,D,SI1,62.2,58.0,1398,0.1452991452991453
209,0.42,Premium,D,VVS2,62.8,59.0,1241,0.11965811965811965
210,1.82,Premium,H,VS2,61.6,60.0,14749,0.5185185185185186
211,0.7,Very Good,E,VS2,58.9,60.0,2845,0.19943019943019946
212,1.37,Ideal,G,VVS2,62.3,55.5,12207,0.3903133903133904
213,1.0,Premium,G,SI2,62.7,59.0,4095,0.2849002849002849
214,1.2,Ideal,G,SI2,61.1,57.0,5722,0.3418803418803419
215,1.01,Premium,E,VS1,62.0,59.0,7964,0.28774928774928776
216,0.5,Ideal,H,SI1,61.7,58.0,1035,0.14245014245014245
217,1.0,Premium,E,VS1,60.4,59.0,7744,0.2849002849002849
218,0.31,Ideal,F,IF,61.4,56.0,1061,0.08831908831908833
219,0.4,Very Good,D,VS2,63.3,58.0,845,0.11396011396011398
220,0.32,Very Good,G,VS2,62.3,55.0,544,0.09116809116809116
221,1.54,Premium,F,VS2,62.4,59.0,14578,0.4387464387464388
222,1.05,Premium,E,I1,61.4,58.0,2964,0.2991452991452992
223,1.05,Premium,G,VS2,61.9,59.0,5821,0.2991452991452992
224,1.0,Good,G,VS1,63.9,55.0,6028,0.2849002849002849
225,0.3,Very Good,I,VS1,63.3,59.0,608,0.08547008547008547
226,0.3,Very Good,E,VS2,62.4,57.0,658,0.08547008547008547
227,1.0,Good,G,VVS2,60.9,56.0,7492,0.2849002849002849
228,0.39,Premium,F,VS1,60.6,55.0,1092,0.11111111111111112
229,0.31,Very Good,G,SI1,63.0,56.0,462,0.08831908831908833
230,0.31,Premium,G,VS2,61.8,58.0,435,0.08831908831908833
231,0.6,Ideal,F,SI1,61.5,58.0,1646,0.17094017094017094
232,0.31,Ideal,G,SI2,60.5,57.0,523,0.08831908831908833
233,0.3,Very Good,D,VS2,62.6,61.0,710,0.08547008547008547
234,0.41,Ideal,G,VVS1,62.1,55.0,1230,0.1168091168091168
235,0.33,Premium,G,VS1,60.3,58.0,621,0.09401709401709404
236,0.7,Very Good,F,VS1,61.8,59.0,2895,0.19943019943019946
237,0.28,Very Good,E,VVS1,62.1,57.0,707,0.07977207977207977
238,0.7,Very Good,I,VS1,63.3,55.0,1995,0.19943019943019946
239,0.35,Ideal,D,VS1,60.8,57.0,952,0.09971509971509973
240,1.0,Ideal,G,SI1,61.0,57.0,5622,0.2849002849002849
241,0.76,Premium,F,IF,60.6,60.0,4150,0.21652421652421652
242,1.0,Fair,G,SI1,43.0,59.0,3634,0.2849002849002849
243,1.0,Very Good,G,SI1,62.6,59.0,4844,0.2849002849002849
244,1.03,Good,D,SI2,57.6,58.0,4177,0.2934472934472935
245,0.25,Very Good,F,VVS2,62.0,59.0,576,0.07122507122507123
246,1.1,Ideal,H,VS2,60.5,57.0,5347,0.3133903133903134
247,1.03,Ideal,G,VVS1,61.7,56.0,7708,0.2934472934472935
248,1.14,Very Good,J,SI1,63.3,55.0,4173,0.3247863247863248
249,1.1,Ideal,D,VS1,61.9,56.0,10144,0.3133903133903134
250,0.73,Premium,F,SI2,60.5,57.0,2351,0.207977207977208
251,0.71,Ideal,H,VS1,60.3,59.0,2487,0.2022792022792023
252,0.7,Good,D,VVS1,61.0,61.0,4407,0.19943019943019946
253,1.33,Ideal,G,VVS1,62.2,54.0,12255,0.3789173789173789
254,1.15,Premium,H,SI1,62.0,58.0,5506,0.3276353276353277
255,0.53,Ideal,F,VVS1,61.6,56.0,2896,0.15099715099715105
256,1.3,Very Good,F,SI2,61.1,58.0,6149,0.3703703703703704
257,1.05,Premium,F,VVS2,61.3,59.0,8693,0.2991452991452992
258,0.57,Premium,G,VS2,59.7,59.0,1608,0.1623931623931624
259,0.63,Very Good,D,SI1,62.8,57.0,1885,0.1794871794871795
260,0.91,Very Good,E,SI2,60.3,59.0,3638,0.2592592592592593
261,1.2,Premium,D,VS2,61.6,60.0,8693,0.3418803418803419
262,1.01,Premium,E,SI1,63.0,61.0,5077,0.28774928774928776
263,1.05,Premium,H,SI1,59.3,58.0,5161,0.2991452991452992
264,0.34,Ideal,F,VS2,62.2,55.0,641,0.09686609686609687
265,1.19,Premium,I,VS2,61.7,57.0,5439,0.33903133903133903
266,0.52,Premium,D,SI1,58.7,58.0,1720,0.14814814814814814
267,0.53,Good,I,SI2,63.6,58.0,942,0.15099715099715105
268,1.11,Ideal,E,VS2,61.0,57.0,9625,0.3162393162393163
269,0.32,Ideal,G,IF,61.1,57.0,918,0.09116809116809116
270,0.36,Ideal,F,VS2,61.5,55.0,807,0.10256410256410256
271,1.03,Ideal,F,SI2,61.8,56.0,4454,0.2934472934472935
272,0.33,Premium,I,VS1,59.5,60.0,668,0.09401709401709404
273,0.7,Very Good,F,VS2,62.4,57.0,2956,0.19943019943019946
274,0.32,Ideal,E,VS2,62.0,55.0,900,0.09116809116809116
275,2.01,Very Good,H,SI1,60.1,60.0,17476,0.5726495726495726
276,0.32,Ideal,G,VS1,61.2,56.0,645,0.09116809116809116
277,0.9,Good,G,SI2,64.1,56.0,3246,0.25641025641025644
278,1.08,Ideal,F,VS2,61.0,57.0,7781,0.3076923076923077
279,0.31,Ideal,H,VVS1,61.8,57.0,907,0.08831908831908833
280,1.02,Premium,H,VS2,61.8,58.0,5241,0.2905982905982906
281,0.35,Ideal,E,VS2,61.6,55.0,984,0.09971509971509973
282,0.32,Ideal,F,SI1,60.9,55.0,586,0.09116809116809116
283,2.53,Premium,H,SI2,62.6,60.0,14659,0.7207977207977208
284,0.55,Ideal,E,SI1,61.4,55.0,1668,0.1566951566951567
285,0.58,Ideal,H,IF,61.6,57.0,2211,0.16524216524216526
286,0.52,Premium,E,VS2,60.6,58.0,1622,0.14814814814814814
287,0.7,Good,G,VVS1,58.5,62.0,3380,0.19943019943019946
288,0.52,Ideal,H,VS2,61.3,55.0,1401,0.14814814814814814
289,0.3,Ideal,G,VVS1,62.7,54.0,764,0.08547008547008547
290,0.71,Ideal,F,VS1,61.7,55.0,3041,0.2022792022792023
291,0.4,Ideal,G,VVS2,62.6,53.0,917,0.11396011396011398
292,1.02,Ideal,J,SI2,61.6,55.0,2611,0.2905982905982906
293,0.33,Very Good,F,VVS2,62.5,59.0,810,0.09401709401709404
294,1.01,Premium,F,SI2,62.9,59.0,4616,0.28774928774928776
295,0.32,Very Good,F,VVS2,62.0,55.0,717,0.09116809116809116
296,1.5,Very Good,E,VS2,62.1,60.0,14256,0.4273504273504274
297,1.02,Good,G,VS2,63.2,57.0,6058,0.2905982905982906
298,0.33,Ideal,E,IF,61.9,57.0,1129,0.09401709401709404
299,0.65,Premium,D,SI1,60.5,58.0,2134,0.1851851851851852
300,0.3,Ideal,F,IF,59.8,58.0,873,0.08547008547008547
301,1.21,Premium,G,SI2,60.3,58.0,5529,0.34472934472934474
302,0.7,Ideal,I,VVS2,62.7,54.0,2487,0.19943019943019946
303,0.51,Premium,G,VS2,61.3,59.0,1443,0.1452991452991453
304,1.54,Premium,D,VS2,62.7,59.0,16921,0.4387464387464388
305,0.43,Very Good,F,SI1,61.6,59.0,792,0.1225071225071225
306,0.33,Premium,I,VVS1,61.9,60.0,780,0.09401709401709404
307,0.9,Good,I,VVS1,62.4,61.0,3972,0.25641025641025644
308,0.41,Very Good,E,SI1,63.2,56.0,1015,0.1168091168091168
309,0.31,Ideal,G,IF,61.9,56.0,871,0.08831908831908833
310,1.54,Very Good,F,SI1,58.8,60.0,11650,0.4387464387464388
311,1.04,Ideal,G,VS2,62.5,57.0,6709,0.29629629629629634
312,0.62,Ideal,E,SI1,61.7,54.0,2054,0.17663817663817666
313,0.9,Very Good,D,SI1,63.5,57.0,4304,0.25641025641025644
314,0.36,Ideal,H,VS1,61.5,55.0,651,0.10256410256410256
315,0.3,Ideal,F,VVS1,62.1,55.0,1114,0.08547008547008547
316,1.4,Premium,I,VS1,61.6,59.0,7722,0.3988603988603989
317,1.7,Very Good,H,SI2,60.8,56.0,10255,0.4843304843304844
318,0.33,Ideal,G,VS1,61.8,56.0,666,0.09401709401709404
319,1.06,Ideal,F,VS1,61.9,57.0,7345,0.30199430199430205
320,0.4,Very Good,G,SI1,59.2,61.0,702,0.11396011396011398
321,1.1,Ideal,J,SI2,60.1,57.0,4624,0.3133903133903134
322,0.9,Fair,H,VS2,65.5,57.0,3226,0.25641025641025644
323,0.32,Premium,G,VVS2,61.2,59.0,730,0.09116809116809116
324,0.33,Ideal,E,VS1,62.7,57.0,1002,0.09401709401709404
325,0.73,Very Good,E,SI1,63.3,60.0,2523,0.207977207977208
326,1.51,Premium,G,SI1,62.4,62.0,10688,0.43019943019943024
327,2.07,Ideal,I,SI2,62.0,55.0,16337,0.5897435897435898
328,1.0,Premium,E,SI2,61.0,59.0,3752,0.2849002849002849
329,1.04,Very Good,H,SI1,63.1,58.0,4316,0.29629629629629634
330,1.21,Premium,F,VS2,60.1,55.0,8870,0.34472934472934474
331,0.72,Ideal,H,VVS1,62.5,57.0,2946,0.20512820512820512
332,0.83,Very Good,E,SI1,62.1,58.0,3002,0.2364672364672365
333,1.17,Ideal,J,SI1,62.3,55.0,4883,0.3333333333333333
334,0.28,Ideal,F,VS1,62.0,57.0,598,0.07977207977207977
335,0.53,Ideal,E,VS2,62.4,56.0,1813,0.15099715099715105
336,1.0,Very Good,I,SI2,60.8,63.0,3276,0.2849002849002849
337,0.46,Premium,E,VS1,62.0,58.0,1294,0.13105413105413108
338,0.34,Ideal,D,SI1,60.6,56.0,803,0.09686609686609687
339,0.3,Very Good,E,VS2,62.9,58.0,658,0.08547008547008547
340,1.01,Very Good,E,VS2,60.4,58.0,6666,0.28774928774928776
341,1.26,Ideal,G,SI1,59.6,57.0,6738,0.35897435897435903
342,0.36,Ideal,F,VS1,61.6,56.0,819,0.10256410256410256
343,2.01,Good,J,SI1,63.6,59.0,12257,0.5726495726495726
344,0.4,Very Good,E,SI1,63.5,57.0,882,0.11396011396011398
345,0.42,Ideal,J,VS1,60.9,57.0,663,0.11965811965811965
346,0.91,Premium,G,SI2,61.3,60.0,3423,0.2592592592592593
347,0.51,Ideal,G,IF,62.4,54.0,2096,0.1452991452991453
348,0.32,Very Good,D,VS2,62.5,57.0,758,0.09116809116809116
349,1.77,Premium,E,VS2,61.6,58.0,15278,0.5042735042735043
350,0.3,Premium,F,VVS2,61.6,58.0,737,0.08547008547008547
351,1.51,Very Good,D,SI2,63.2,59.0,7915,0.43019943019943024
352,1.01,Ideal,E,SI1,61.6,57.0,5206,0.28774928774928776
353,1.58,Premium,G,VS1,60.8,58.0,11380,0.4501424501424502
354,0.91,Premium,G,SI2,59.8,58.0,2813,0.2592592592592593
355,0.7,Very Good,D,SI1,62.5,55.0,2862,0.19943019943019946
356,0.31,Ideal,D,SI1,62.3,54.0,571,0.08831908831908833
357,0.71,Premium,E,VS2,61.5,60.0,2858,0.2022792022792023
358,1.5,Good,J,VS2,63.6,58.0,7308,0.4273504273504274
359,0.31,Ideal,D,SI1,61.3,56.0,565,0.08831908831908833
360,0.31,Ideal,H,VVS1,61.6,57.0,846,0.08831908831908833
361,1.06,Premium,E,SI1,60.8,58.0,5485,0.30199430199430205
362,0.32,Ideal,F,VS1,61.0,54.0,716,0.09116809116809116
363,1.01,Very Good,E,SI1,63.3,58.0,5077,0.28774928774928776
364,0.57,Ideal,D,VVS1,61.6,56.0,3126,0.1623931623931624
365,0.9,Very Good,F,VS2,63.4,58.0,4400,0.25641025641025644
366,0.46,Ideal,D,VS2,62.4,56.0,1298,0.13105413105413108
367,0.9,Very Good,H,VS1,62.3,59.0,4592,0.25641025641025644
368,1.36,Very Good,D,VVS2,62.6,58.0,14236,0.3874643874643875
369,0.54,Good,E,SI2,63.8,54.0,1163,0.15384615384615385
370,1.16,Ideal,H,SI1,62.2,54.0,6036,0.3304843304843305
371,2.13,Very Good,J,SI1,62.8,58.0,13996,0.6068376068376068
372,0.43,Ideal,F,VS2,61.5,56.0,904,0.1225071225071225
373,0.7,Good,F,SI1,64.3,63.0,2059,0.19943019943019946
374,1.01,Fair,E,SI2,64.6,59.0,3294,0.28774928774928776
375,0.6,Premium,H,SI1,58.9,61.0,1341,0.17094017094017094
376,0.9,Good,F,VS1,63.3,59.0,4508,0.25641025641025644
377,0.71,Ideal,I,SI1,61.4,56.0,2376,0.2022792022792023
378,0.32,Ideal,E,IF,62.6,55.0,1095,0.09116809116809116
379,0.38,Very Good,H,VVS1,59.1,58.0,967,0.10826210826210828
380,0.24,Very Good,D,VVS2,61.3,58.0,485,0.06837606837606837
381,1.01,Ideal,E,SI1,62.1,54.0,5599,0.28774928774928776
382,0.9,Good,G,SI1,63.7,60.0,3669,0.25641025641025644
